epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,245.808,1.22214,1.18858,1.50405,0.56386,0.69428,0.69471,0.37226,1.53824,1.2352,1.90386,0.000922942,0.000922942,0.000922942
29,374.49,1.22197,1.18192,1.49772,0.6981,0.68949,0.73315,0.40115,1.56844,1.23137,1.84828,0.000917296,0.000917296,0.000917296
30,504.247,1.21221,1.15312,1.51098,0.83546,0.59923,0.7307,0.43964,1.43864,1.25708,1.73573,0.000911469,0.000911469,0.000911469
31,641.084,1.20635,1.15547,1.50377,0.6813,0.63965,0.69529,0.35868,1.55307,1.42618,1.8426,0.000905463,0.000905463,0.000905463
32,783.881,1.23521,1.18119,1.51336,0.79066,0.62785,0.73971,0.41771,1.48503,1.33043,1.77722,0.000899282,0.000899282,0.000899282
33,928.57,1.1682,1.11957,1.47448,0.83756,0.63032,0.71268,0.40665,1.48798,1.26219,1.77426,0.000892928,0.000892928,0.000892928
34,1071.19,1.23082,1.12243,1.50603,0.74912,0.6347,0.74765,0.40641,1.56868,1.34936,1.84383,0.000886404,0.000886404,0.000886404
35,1216.15,1.18969,1.08569,1.48875,0.81177,0.67307,0.75451,0.43448,1.48513,1.27582,1.8356,0.000879713,0.000879713,0.000879713
36,1360.65,1.17293,1.07793,1.46518,0.65069,0.74233,0.71016,0.42902,1.51836,1.27338,1.82172,0.000872857,0.000872857,0.000872857
37,1506.59,1.17398,1.10025,1.48225,0.72389,0.65459,0.66257,0.38318,1.4812,1.21973,1.83294,0.000865839,0.000865839,0.000865839
38,1652.96,1.16713,1.06605,1.45902,0.76357,0.69471,0.72987,0.40535,1.51452,1.16399,1.79499,0.000858664,0.000858664,0.000858664
39,1801.32,1.16428,1.06882,1.46836,0.77969,0.61457,0.75777,0.49594,1.40606,1.17387,1.68001,0.000851333,0.000851333,0.000851333
40,1963.66,1.1509,1.05546,1.44946,0.78935,0.68155,0.78591,0.44595,1.47067,1.20301,1.76774,0.000843851,0.000843851,0.000843851
41,124.703,1.12851,1.008,1.42935,0.80148,0.68633,0.78152,0.48754,1.3656,1.07793,1.70054,0.00083622,0.00083622,0.00083622
42,252.199,1.09089,0.96267,1.39775,0.83515,0.72963,0.78991,0.43525,1.47416,1.248,1.74819,0.000828443,0.000828443,0.000828443
43,384.251,1.09372,0.97283,1.39509,0.78063,0.6761,0.7671,0.45926,1.47406,1.18629,1.81035,0.000820525,0.000820525,0.000820525
44,526.013,1.09743,0.96073,1.41544,0.73424,0.72386,0.7297,0.4672,1.41664,1.18733,1.71544,0.000812468,0.000812468,0.000812468
45,658.804,1.06683,0.94331,1.39678,0.71271,0.66483,0.72973,0.4199,1.53444,1.23164,1.80052,0.000804277,0.000804277,0.000804277
46,801.694,1.09102,0.95759,1.40408,0.83552,0.74693,0.80033,0.4741,1.4009,1.11483,1.69221,0.000795954,0.000795954,0.000795954
47,958.439,1.04819,0.90965,1.3772,0.69347,0.74104,0.73748,0.44541,1.54372,1.1692,1.87883,0.000787503,0.000787503,0.000787503
48,1116.65,1.09729,0.9246,1.39696,0.71565,0.61547,0.69609,0.43611,1.47919,1.23022,1.76964,0.000778929,0.000778929,0.000778929
49,1267.98,1.06475,0.9074,1.38735,0.71514,0.6623,0.73076,0.46455,1.38993,1.10458,1.69525,0.000770234,0.000770234,0.000770234
50,1441.79,1.0472,0.89273,1.36468,0.7865,0.64322,0.74058,0.46724,1.39565,1.19044,1.73366,0.000761423,0.000761423,0.000761423
51,1602.68,1.05867,0.92979,1.38606,0.59609,0.62237,0.66757,0.41774,1.6076,1.24259,1.91393,0.0007525,0.0007525,0.0007525
52,1765.24,1.03987,0.8865,1.36727,0.71978,0.61348,0.72339,0.44455,1.45002,1.15243,1.79327,0.000743468,0.000743468,0.000743468
53,1967.27,1.05268,0.88834,1.37812,0.77617,0.68412,0.77025,0.48802,1.42974,1.13428,1.7259,0.000734332,0.000734332,0.000734332
54,165.443,1.03356,0.85527,1.35337,0.88947,0.60464,0.74207,0.48068,1.38444,1.16971,1.73403,0.000725094,0.000725094,0.000725094
55,304.684,0.99879,0.83309,1.33047,0.73953,0.64045,0.71642,0.43586,1.44977,1.11801,1.77625,0.000715761,0.000715761,0.000715761
56,449.3,0.99588,0.83733,1.32547,0.8106,0.69558,0.74534,0.44166,1.44015,1.16413,1.77535,0.000706335,0.000706335,0.000706335
57,600.506,0.99348,0.82023,1.33665,0.85817,0.61541,0.75437,0.43877,1.46933,1.16948,1.77958,0.00069682,0.00069682,0.00069682
58,740.148,0.98567,0.81954,1.33018,0.80943,0.63068,0.72078,0.45285,1.4435,1.24032,1.71886,0.000687222,0.000687222,0.000687222
59,905.39,0.9868,0.82598,1.32355,0.76221,0.71731,0.78458,0.46743,1.40688,1.02589,1.73453,0.000677543,0.000677543,0.000677543
60,131.849,0.9512,0.77508,1.29364,0.64936,0.83378,0.77437,0.4921,1.40979,1.15392,1.73605,0.000667789,0.000667789,0.000667789
61,265.464,0.92299,0.75417,1.27916,0.66011,0.69852,0.72573,0.43158,1.44114,1.24575,1.7551,0.000657963,0.000657963,0.000657963
62,422.69,0.9262,0.74415,1.27674,0.72845,0.69811,0.72335,0.4364,1.42504,1.20953,1.73596,0.000648071,0.000648071,0.000648071
63,600.24,0.9007,0.72946,1.27016,0.79016,0.66873,0.72923,0.44445,1.48552,1.37145,1.82311,0.000638115,0.000638115,0.000638115
64,757.734,0.9138,0.73904,1.27607,0.72637,0.66553,0.67662,0.41292,1.45474,1.28914,1.78037,0.000628101,0.000628101,0.000628101
65,980.667,0.91016,0.74108,1.26914,0.75435,0.69999,0.73558,0.43951,1.42211,1.08586,1.76697,0.000618034,0.000618034,0.000618034
66,1234.44,0.96812,0.77031,1.31711,0.73092,0.76927,0.78203,0.47179,1.46394,1.14287,1.7767,0.000607916,0.000607916,0.000607916
67,1475.21,1.01757,0.80487,1.33247,0.80539,0.60138,0.71313,0.44482,1.42975,1.2147,1.74426,0.000597754,0.000597754,0.000597754
68,1754.89,0.96404,0.78508,1.31109,0.74054,0.60212,0.67552,0.41459,1.37903,1.12545,1.73082,0.000587551,0.000587551,0.000587551
69,2104.85,0.93928,0.76403,1.28984,0.8146,0.43261,0.51521,0.28092,1.39333,1.16867,1.72667,0.000577311,0.000577311,0.000577311
70,2712.49,0.93358,0.78044,1.29422,0.76356,0.70349,0.77575,0.47104,1.39424,1.13486,1.76406,0.00056704,0.00056704,0.00056704
71,2999.48,0.92963,0.74197,1.28591,0.85823,0.64346,0.77368,0.45537,1.39543,1.16653,1.69507,0.000556742,0.000556742,0.000556742
72,3239.1,0.94018,0.75699,1.29422,0.69026,0.5026,0.5529,0.34598,1.35775,1.14557,1.69218,0.000546421,0.000546421,0.000546421
73,3491.05,0.9871,0.79398,1.3233,0.66629,0.64299,0.6895,0.43182,1.4602,1.16625,1.79713,0.000536081,0.000536081,0.000536081
74,3797.75,1.02032,0.79971,1.34297,0.84557,0.70732,0.75719,0.45053,1.42454,1.14294,1.77461,0.000525728,0.000525728,0.000525728
75,4147.88,0.97171,0.78718,1.31307,0.82583,0.72346,0.78305,0.46804,1.43361,1.14339,1.75888,0.000515366,0.000515366,0.000515366
76,4468.63,0.98202,0.78352,1.31631,0.76951,0.7873,0.78343,0.47257,1.39435,1.11396,1.74191,0.000505,0.000505,0.000505
77,134.646,0.87429,0.68168,1.24233,0.72109,0.80029,0.78882,0.4801,1.43675,1.06506,1.77272,0.000494634,0.000494634,0.000494634
78,508.112,0.85622,0.66361,1.23071,0.85264,0.65319,0.7649,0.45554,1.37291,1.1829,1.68984,0.000484272,0.000484272,0.000484272
79,652.093,0.84834,0.65713,1.21808,0.84373,0.73162,0.77025,0.44242,1.41385,1.10376,1.73601,0.000473919,0.000473919,0.000473919
80,816.376,0.83684,0.6505,1.22125,0.7125,0.71831,0.74971,0.42258,1.43616,1.25357,1.75623,0.000463579,0.000463579,0.000463579
81,983.104,0.8406,0.65605,1.22323,0.71904,0.70996,0.72596,0.44502,1.43866,1.25654,1.79977,0.000453258,0.000453258,0.000453258
82,1206.79,0.84695,0.65931,1.22188,0.6665,0.71404,0.72664,0.43751,1.44845,1.17558,1.8106,0.00044296,0.00044296,0.00044296
83,1429.6,0.84501,0.65041,1.22641,0.79128,0.69845,0.75444,0.43292,1.43244,1.09903,1.80179,0.000432689,0.000432689,0.000432689
84,1758.14,0.86601,0.66066,1.23505,0.77702,0.70613,0.73309,0.4386,1.44787,1.24831,1.79958,0.000422449,0.000422449,0.000422449
85,2104.91,0.85625,0.65336,1.23054,0.84885,0.59558,0.744,0.46596,1.38248,1.13519,1.76411,0.000412246,0.000412246,0.000412246
86,2541.39,0.84851,0.65287,1.22624,0.84357,0.69325,0.76206,0.45539,1.44425,1.11432,1.83677,0.000402084,0.000402084,0.000402084
87,3088.32,0.84277,0.66883,1.23098,0.82107,0.67838,0.75921,0.45758,1.40867,1.14318,1.79818,0.000391966,0.000391966,0.000391966
88,3388.61,0.82661,0.63403,1.21075,0.77566,0.69812,0.75948,0.46626,1.45629,1.11823,1.82413,0.000381899,0.000381899,0.000381899
89,4520.23,0.82412,0.632,1.21617,0.79939,0.72598,0.76623,0.45208,1.38229,1.13835,1.76524,0.000371885,0.000371885,0.000371885
90,4833.39,0.86113,0.66331,1.2372,0.68549,0.70234,0.73245,0.4591,1.35292,1.1354,1.69891,0.000361929,0.000361929,0.000361929
91,5155.32,0.87053,0.66088,1.24021,0.69714,0.71084,0.7275,0.45826,1.35142,1.15704,1.71915,0.000352037,0.000352037,0.000352037
92,5505.5,0.84696,0.66138,1.22968,0.77406,0.7073,0.75632,0.45876,1.38725,1.09527,1.73421,0.000342211,0.000342211,0.000342211
93,201.671,0.78056,0.59159,1.17907,0.80072,0.52089,0.55653,0.30446,1.41284,1.12731,1.79366,0.000332457,0.000332457,0.000332457
94,376.868,0.75608,0.57682,1.16459,0.80908,0.72613,0.76926,0.47548,1.37357,1.11848,1.79466,0.000322778,0.000322778,0.000322778
95,540.034,0.76912,0.58133,1.16783,0.828,0.71337,0.76118,0.45733,1.42185,1.16115,1.79415,0.00031318,0.00031318,0.00031318
96,766.913,0.73899,0.56652,1.15948,0.80968,0.70701,0.74591,0.42847,1.44452,1.18534,1.85272,0.000303665,0.000303665,0.000303665
97,1030.57,0.74081,0.56893,1.16308,0.82932,0.68688,0.74749,0.45627,1.36316,1.15988,1.7686,0.000294239,0.000294239,0.000294239
98,1243.03,0.76862,0.58582,1.16903,0.82301,0.68182,0.75323,0.46205,1.36589,1.21728,1.75341,0.000284906,0.000284906,0.000284906
99,1502.75,0.75052,0.56586,1.1656,0.79964,0.6788,0.72763,0.42276,1.42854,1.25328,1.818,0.000275668,0.000275668,0.000275668
100,1810.29,0.75688,0.57012,1.16865,0.7137,0.70256,0.71068,0.43215,1.43736,1.12308,1.83664,0.000266532,0.000266532,0.000266532
101,2082.03,0.76771,0.56257,1.17331,0.71982,0.68037,0.7455,0.48173,1.38693,1.17178,1.79847,0.0002575,0.0002575,0.0002575
102,2353.98,0.77789,0.5805,1.1789,0.85045,0.68168,0.76514,0.44293,1.39577,1.13408,1.80244,0.000248577,0.000248577,0.000248577
103,2664.97,0.77302,0.59125,1.1789,0.79329,0.65968,0.74143,0.42275,1.43426,1.25119,1.8228,0.000239766,0.000239766,0.000239766
104,2997.81,0.73383,0.55365,1.15113,0.80419,0.70184,0.76788,0.46655,1.39509,1.12482,1.78669,0.000231071,0.000231071,0.000231071
105,3326.59,0.7311,0.55172,1.15796,0.6954,0.64607,0.66714,0.4323,1.44447,1.16492,1.8389,0.000222497,0.000222497,0.000222497
106,3764.46,0.76661,0.576,1.17534,0.83346,0.70139,0.75117,0.4429,1.41839,1.16824,1.84463,0.000214046,0.000214046,0.000214046
107,4395.27,0.77638,0.57492,1.17822,0.83935,0.62947,0.72409,0.4461,1.41277,1.13392,1.85895,0.000205723,0.000205723,0.000205723
108,5252.33,0.7495,0.57521,1.17001,0.73544,0.71604,0.73424,0.45768,1.37099,1.16144,1.76211,0.000197532,0.000197532,0.000197532
109,6454.32,0.82906,0.61146,1.21181,0.78294,0.60994,0.71702,0.4419,1.40772,1.15856,1.80055,0.000189475,0.000189475,0.000189475
110,8200.5,0.85976,0.63654,1.22794,0.7278,0.70389,0.73365,0.46544,1.36022,1.17514,1.72212,0.000181557,0.000181557,0.000181557
111,160.548,0.6799,0.51965,1.11954,0.83703,0.59393,0.72585,0.44232,1.40152,1.19538,1.81311,0.00017378,0.00017378,0.00017378
112,404.53,0.66725,0.50716,1.11082,0.74198,0.72139,0.75444,0.47926,1.3821,1.144,1.78035,0.000166149,0.000166149,0.000166149
113,603.195,0.68738,0.51179,1.11584,0.83933,0.70622,0.75898,0.46187,1.37811,1.12184,1.76992,0.000158667,0.000158667,0.000158667
114,808.405,0.65391,0.50066,1.10733,0.83829,0.69522,0.75072,0.45494,1.39744,1.19716,1.80875,0.000151336,0.000151336,0.000151336
115,987.446,0.65607,0.50051,1.11099,0.82114,0.70295,0.76071,0.44652,1.40182,1.23376,1.85325,0.000144161,0.000144161,0.000144161
116,1159.37,0.69244,0.51506,1.12074,0.84479,0.68582,0.75728,0.46526,1.39256,1.2116,1.81814,0.000137143,0.000137143,0.000137143
117,1359.69,0.69617,0.50619,1.12846,0.80446,0.70116,0.77095,0.46831,1.38873,1.24298,1.82438,0.000130287,0.000130287,0.000130287
118,1761.16,0.68544,0.50607,1.12146,0.82883,0.66721,0.75312,0.4462,1.4353,1.22858,1.83014,0.000123596,0.000123596,0.000123596
119,2079.23,0.68843,0.50008,1.12214,0.81757,0.67278,0.75141,0.45414,1.41018,1.22395,1.79679,0.000117072,0.000117072,0.000117072
120,2469.57,0.66782,0.5029,1.11131,0.83399,0.68537,0.75969,0.46232,1.35099,1.16551,1.75257,0.000110718,0.000110718,0.000110718
121,2769.18,0.67308,0.51661,1.11754,0.82487,0.68434,0.77008,0.47898,1.39655,1.19631,1.82384,0.000104537,0.000104537,0.000104537
122,3176.47,0.65578,0.49008,1.1044,0.7431,0.7051,0.7468,0.45749,1.40029,1.1608,1.82959,9.85311e-05,9.85311e-05,9.85311e-05
123,3526.12,0.65963,0.49364,1.11188,0.86297,0.68292,0.77614,0.46418,1.41522,1.1585,1.85004,9.2704e-05,9.2704e-05,9.2704e-05
124,10283.9,0.67696,0.50791,1.1198,0.84795,0.66447,0.74997,0.45687,1.42808,1.18084,1.8644,8.70577e-05,8.70577e-05,8.70577e-05
125,21965,0.69092,0.50849,1.12658,0.80833,0.63203,0.73148,0.42256,1.42244,1.18833,1.83737,8.15947e-05,8.15947e-05,8.15947e-05
126,35169.4,0.66099,0.50764,1.11672,0.81362,0.68657,0.75468,0.46285,1.40601,1.20895,1.84621,7.63174e-05,7.63174e-05,7.63174e-05
127,132.147,0.60526,0.46625,1.07792,0.80693,0.68054,0.74982,0.446,1.42418,1.25775,1.86948,7.12282e-05,7.12282e-05,7.12282e-05
128,346.324,0.60351,0.45998,1.0735,0.85106,0.67034,0.76105,0.46191,1.42854,1.20934,1.86675,6.63292e-05,6.63292e-05,6.63292e-05
129,577.438,0.61278,0.46246,1.07657,0.83381,0.68238,0.75245,0.44911,1.46123,1.19395,1.91303,6.16227e-05,6.16227e-05,6.16227e-05
130,846.111,0.58587,0.45059,1.06949,0.8372,0.70294,0.75894,0.45946,1.44671,1.19229,1.8783,5.71106e-05,5.71106e-05,5.71106e-05
131,1138.44,0.59291,0.45583,1.07449,0.85371,0.6926,0.77327,0.48513,1.41923,1.22089,1.84563,5.2795e-05,5.2795e-05,5.2795e-05
132,1474.49,0.61334,0.46597,1.07676,0.82902,0.69182,0.77238,0.47416,1.405,1.25494,1.84023,4.86777e-05,4.86777e-05,4.86777e-05
133,1711.45,0.61087,0.45472,1.08128,0.84722,0.6916,0.75797,0.47312,1.395,1.24199,1.85156,4.47606e-05,4.47606e-05,4.47606e-05
134,1878.47,0.609,0.4594,1.07799,0.82303,0.6669,0.75869,0.44924,1.40559,1.23611,1.85207,4.10454e-05,4.10454e-05,4.10454e-05
135,2065.2,0.60064,0.45025,1.07525,0.85323,0.67545,0.75395,0.45992,1.41409,1.26417,1.8694,3.75337e-05,3.75337e-05,3.75337e-05
136,2264.03,0.59723,0.45798,1.07318,0.84203,0.6489,0.75634,0.46755,1.417,1.23237,1.87356,3.4227e-05,3.4227e-05,3.4227e-05
137,2472.79,0.59888,0.47079,1.07867,0.84553,0.64807,0.76003,0.44399,1.43706,1.2422,1.88752,3.11268e-05,3.11268e-05,3.11268e-05
138,2781.5,0.58929,0.45027,1.06941,0.84194,0.65586,0.75669,0.4551,1.44803,1.2398,1.90319,2.82345e-05,2.82345e-05,2.82345e-05
139,3138.82,0.59373,0.455,1.07743,0.8365,0.67837,0.75697,0.44891,1.43708,1.25558,1.89487,2.55513e-05,2.55513e-05,2.55513e-05
140,206.306,0.55909,0.43597,1.05371,0.8355,0.66483,0.75076,0.44238,1.42335,1.22921,1.88444,2.30784e-05,2.30784e-05,2.30784e-05
141,441.043,0.76799,0.50411,1.22176,0.6552,0.65189,0.65112,0.42624,1.45016,1.22021,1.92419,2.08169e-05,2.08169e-05,2.08169e-05
142,716.205,0.76739,0.48599,1.23433,0.81028,0.68661,0.74086,0.43718,1.44083,1.20782,1.90714,1.87678e-05,1.87678e-05,1.87678e-05
143,958.404,0.76364,0.47294,1.20776,0.80402,0.67796,0.73913,0.43788,1.4533,1.19077,1.90464,1.6932e-05,1.6932e-05,1.6932e-05
144,1135.9,0.77968,0.47606,1.23217,0.81108,0.67527,0.73653,0.43859,1.46328,1.1844,1.90981,1.53102e-05,1.53102e-05,1.53102e-05
145,1344.15,0.76548,0.46521,1.22042,0.81937,0.67113,0.74047,0.43927,1.46004,1.15315,1.90637,1.39032e-05,1.39032e-05,1.39032e-05
146,1582.95,0.74179,0.44999,1.18433,0.8091,0.67632,0.73973,0.43897,1.44874,1.16975,1.88073,1.27117e-05,1.27117e-05,1.27117e-05
147,1857.08,0.75037,0.4456,1.20667,0.80263,0.68311,0.74147,0.43737,1.46265,1.19262,1.88944,1.1736e-05,1.1736e-05,1.1736e-05
148,2232.49,0.72647,0.4416,1.16868,0.81155,0.67566,0.74879,0.43832,1.45874,1.15952,1.88713,1.09768e-05,1.09768e-05,1.09768e-05
149,116.881,0.74656,0.44499,1.18975,0.81188,0.67243,0.7367,0.43681,1.46291,1.16678,1.89739,1.04342e-05,1.04342e-05,1.04342e-05
150,235.702,0.73746,0.44245,1.18619,0.80736,0.684,0.74718,0.44023,1.44801,1.14997,1.86879,1.01086e-05,1.01086e-05,1.01086e-05
